Input,Output
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. Sum up the YTD balances from the filters applied in step 1a through 1c.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0011.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']
ICECODE1=['I00001']

ABCD0011_1=SUM(ytdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG001' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0011_2 = ABCD0011_1 + ABCD0011_TSA;

ABCD0011 = SCLRND(3,-3,ABCD0011_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG001,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG001,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the QTD balances from the filters applied in step 1a through 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0012.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG001','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG001','FINLEG004']
ICECODE1=['I00001']

ABCD0012_1=SUM(atdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0012_2 = ABCD0012_1 + ABCD0012_TSA;

ABCD0012 = SCLRND(3,-3,ABCD0012_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the YTD balances from the filters applied in step 1a thorugh 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0013.","ACCOUNT1=['AC0003','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG010','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG010','FINLEG004']
ICECODE1=['I00001']

ABCD0013_1=SUM(ytdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0013_2 = ABCD0013_1 + ABCD0013_TSA;

ABCD0013 = SCLRND(3,-3,ABCD0013_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Perform the following filters multiplied by -1
2a. ABC Accounts in AD0001,AD1001,AD1101,AD1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
2b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
2c. Sum up th QTD balances from the filters applied in step 2a & 2b.
3. Sum up Steps 1 & 2.
4. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in steps 1 & 2.
5. Add TSA values to the results (ex <Taxonomy>_TSA)
6. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0014.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ACCOUNT2=['AD0001','AD1001','AD1101','AD1011'];
ICECODE1=['I00000'];

ABCD0014_1=SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP')) + SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'EOP')) * -1;

ABCD0014_2 = ABCD0014_1 + ABCD0014_TSA;

ABCD0014 = SCLRND(3,-3,ABCD0014_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Perform the following filters multiplied by -1
2a. ABC Accounts in AD0001,AD1001,AD1101,AD1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
2b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
2c. Sum up th YTD balances from the filters applied in step 2a & 2b.
3. Sum up Steps 1 & 2.
4. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in steps 1 & 2.
5. Add TSA values to the results (ex <Taxonomy>_TSA)
6. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0015.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ACCOUNT2=['AD0001','AD1001','AD1101','AD1011'];
ICECODE1=['I00000'];

ABCD0015_1=SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP')) + SUM(ytdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'EOP')) * -1;

ABCD0015_2 = ABCD0015_1 + ABCD0015_TSA;

ABCD0015 = SCLRND(3,-3,ABCD0015_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG025
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0016.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ICECODE1=['I00000'];

ABCD0016_1=SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG025' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP'));

ABCD0016_2 = ABCD0016_1 + ABCD0016_TSA;

ABCD0016 = SCLRND(3,-3,ABCD0016_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG026
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG025
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0017.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ICECODE1=['I00000'];

ABCD0017_1=SUM(qtdamt, (org_unit eq 'FINLEG026' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG025' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP'));

ABCD0017_2 = ABCD0017_1 + ABCD0017_TSA;

ABCD0017 = SCLRND(3,-3,ABCD0017_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG026
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1011
	organization Unit is FINLEG025
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0018.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1011'];
ICECODE1=['I00000'];

ABCD0018_1=SUM(qtdamt, (org_unit eq 'FINLEG026' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit eq 'FINLEG025' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0018_2 = ABCD0018_1 + ABCD0018_TSA;

ABCD0018 = SCLRND(3,-3,ABCD0018_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB1101,AB1012
	organization Unit is FINLEG026
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
1b. ABC Accounts in AB0001,AB1001,AB1101,AB1012
	organization Unit is FINLEG025
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0019.","ACCOUNT1=['AB0001','AB1001','AB1101','AB1012'];
ICECODE1=['I00000'];

ABCD0019_1=SUM(qtdamt, (org_unit eq 'FINLEG026' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit eq 'FINLEG025' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0019_2 = ABCD0019_1 + ABCD0019_TSA;

ABCD0019 = SCLRND(3,-3,ABCD0019_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG011,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG011,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG011,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG011,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a thorugh 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0020.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG011','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG011','FINLEG004']
ICECODE1=['I00001']

ABCD0020_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0020_2 = ABCD0020_1 + ABCD0020_TSA;

ABCD0020 = SCLRND(3,-3,ABCD0020_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG011,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG011,FINLEG002,FINLEG003
	Ice code is I00001
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0002,AC1002,AC1102,AC1012
	organization Unit is FINLEG011,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1023,AC1103,AC1013
	organization Unit is FINLEG011,FINLEG004
	Ice code is I00001
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a thorugh 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0021.","ACCOUNT1=['AC0002','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1023','AC1103','AC1013'];
ORGUNIT1=['FINLEG011','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG011','FINLEG004']
ICECODE1=['I00001']

ABCD0021_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0021_2 = ABCD0021_1 + ABCD0021_TSA;

ABCD0021 = SCLRND(3,-3,ABCD0021_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB2202,AB1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0001,AB1001,AB2202,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Perform the following filters multiplied by -1
2a. ABC Accounts in AD0001,AD1001,AD1101,AD1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
2b. ABC Accounts in AB0001,AB1001,AB2202,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
2c. Sum up th QTD balances from the filters applied in step 2a & 2b.
3. Sum up Steps 1 & 2.
4. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in steps 1 & 2.
5. Add TSA values to the results (ex <Taxonomy>_TSA)
6. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0022.","ACCOUNT1=['AB0001','AB1001','AB2202','AB1011'];
ACCOUNT2=['AD0001','AD1001','AD1101','AD1011'];
ICECODE1=['I00000'];

ABCD0022_1=SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP')) + SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'EOP')) * -1;

ABCD0022_2 = ABCD0022_1 + ABCD0022_TSA;

ABCD0022 = SCLRND(3,-3,ABCD0022_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0001,AB1001,AB2202,AB1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
1b. ABC Accounts in AB0001,AB1001,AB2202,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Perform the following filters multiplied by -1
2a. ABC Accounts in AD0001,AD1001,AD1101,AD1011
	organization Unit is FINLEG110
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
2b. ABC Accounts in AB0001,AB1001,AB2202,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is Begining of period (BOP)
2c. Sum up th QTD balances from the filters applied in step 2a & 2b.
3. Sum up Steps 1 & 2.
4. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in steps 1 & 2.
5. Add TSA values to the results (ex <Taxonomy>_TSA)
6. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0023.","ACCOUNT1=['AB0001','AB1001','AB2202','AB1011'];
ACCOUNT2=['AD0001','AD1001','AD1101','AD1011'];
ICECODE1=['I00000'];

ABCD0023_1=SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP')) + SUM(qtdamt, (org_unit eq 'FINLEG110' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP')) * -1;

ABCD0023_2 = ABCD0023_1 + ABCD0023_TSA;

ABCD0023 = SCLRND(3,-3,ABCD0023_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003
	Ice code is I00003
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0003,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00003
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0003,AC1003,AC1103,AC1013
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00003
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a through 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0024.","ACCOUNT1=['AC0003','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0003','AC1003','AC1103','AC1013'];
ORGUNIT1=['FINLEG010','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG010','FINLEG004']
ICECODE1=['I00003']

ABCD0024_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0024_2 = ABCD0024_1 + ABCD0024_TSA;

ABCD0024 = SCLRND(3,-3,ABCD0024_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0033,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003 
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0033,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG002,FINLEG003
	Ice code is I00003
	Balance Type is End of period (EOP)
1c. ABC Accounts in AC0033,AC1002,AC1102,AC1012
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00003
	Balance Type is begining of period (BOP)
1d. ABC Accounts in AC0033,AC1031,AC1103,AC1013
	organization Unit is FINLEG010,FINLEG004
	Ice code is I00003
	Balance Type is begining of period (BOP)
1e. Sum up the AVG balances from the filters applied in step 1a through 1d.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 3 and Rounding as -3 as assign it to the Taxonomy ABCD0025.","ACCOUNT1=['AC0033','AC1002','AC1102','AC1012'];
ACCOUNT2=['AC0033','AC1031','AC1103','AC1013'];
ORGUNIT1=['FINLEG010','FINLEG002','FINLEG003']
ORGUNIT2=['FINLEG010','FINLEG004']
ICECODE1=['I00003']

ABCD0025_1=SUM(avgamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit in ORGUNIT2 and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'BOP') or (org_unit in ORGUNIT2 and account in ACCOUNT2 and icecd in ICECODE1 and baltype eq 'BOP'));

ABCD0025_2 = ABCD0025_1 + ABCD0025_TSA;

ABCD0025 = SCLRND(3,-3,ABCD0025_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AB0002,AB2002,AB2202,AB1011
	organization Unit is FINLEG220
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AB0002,AB2002,AB2202,AB1011
	organization Unit is FINLEG005
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 6 and Rounding as -6 as assign it to the Taxonomy ABCD0026.","ACCOUNT1=['AB0002','AB2002','AB2202','AB1011'];
ICECODE1=['I00000'];

ABCD0026_1=SUM(qtdamt, (org_unit eq 'FINLEG220' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP') or (org_unit eq 'FINLEG005' and account in ACCOUNT1 and icecd in ICECODE1 and baltype eq 'EOP'));

ABCD0026_2 = ABCD0026_1 + ABCD0026_TSA;

ABCD0026 = SCLRND(6,-6,ABCD0026_2);"
"Write a A1 Rule with the following instructions:
1. Perform the following filters
1a. ABC Accounts in AC0001,AC1001,AC2202,AC1011
	organization Unit is FINLEG001,FINLEG002
	Ice code is Third Party (I00000)
	Balance Type is End of period (EOP)
1b. ABC Accounts in AC0001,AC1001,AC2202,AC1011
	organization Unit is FINLEG001,FINLEG002
	Ice code is I00005
	Balance Type is End of period (EOP)
1c. Sum up the QTD balances from the filters applied in step 1a & 1b.
2. Assign common values as labeled variables postfixed with numerical values (1,2,3 etc.) used in step 1.
3. Add TSA values to the results (ex <Taxonomy>_TSA)
4. Scale & Round the final output with Scaling as 6 and Rounding as -6 as assign it to the Taxonomy ABCD0027.","ACCOUNT1=['AC0001','AC1001','AC2202','AC1011'];
ORGUNIT1=['FINLEG001','FINLEG002']

ABCD0027_1=SUM(qtdamt, (org_unit in ORGUNIT1  and account in ACCOUNT1 and icecd eq 'I00000' and baltype eq 'EOP') or (org_unit in ORGUNIT1 and account in ACCOUNT1 and icecd eq 'I00005' and baltype eq 'EOP'));

ABCD0027_2 = ABCD0027_1 + ABCD0027_TSA;

ABCD0027 = SCLRND(6,-6,ABCD0027_2);"
